job_name,岗位划分,最低薪资,最高薪资,平均薪资,薪资等级,最低经验,最高经验,job_edu,学历要求,城市,区,街道,job_company,公司规模
后端工程师,后端/全栈,16000.0,22000.0,19000.0,10k-20k,3.0,5.0,本科,2,北京,海淀,西三旗,北京通合智能科技有限公司,10.0
数据开发工程师,数据开发,16000.0,22000.0,19000.0,10k-20k,5.0,10.0,本科,2,北京,西城,月坛,北京神州数字科技有限公司,15000.0
python爬虫工程师,爬虫/采集,16000.0,30000.0,23000.0,20k-30k,3.0,5.0,大专,1,北京,朝阳,朝外,北京保盛航空服务有限公司,199.5
后端开发工程师,后端/全栈,16000.0,23000.0,19500.0,10k-20k,3.0,5.0,本科,2,北京,海淀,,北京世光科技有限公司,59.5
python开发工程师,其他,16000.0,20000.0,18000.0,10k-20k,5.0,10.0,本科,2,北京,通州,台湖,上海微创软件股份有限公司,15000.0
rag开发工程师（线上面试＋英文好）,其他,16000.0,18000.0,17000.0,10k-20k,3.0,5.0,本科,2,广州,天河,林和,深圳市法本信息技术股份有限公司,5499.5
数据开发工程师,数据开发,16000.0,17000.0,16500.0,10k-20k,5.0,10.0,大专,1,上海,黄浦,小东门,上海信息人才服务有限公司,59.5
Python开发工程师,其他,16000.0,24000.0,20000.0,20k-30k,5.0,10.0,本科,2,上海,黄浦,外滩,八六三软件,749.5
软件开发工程师,其他,16000.0,20000.0,18000.0,10k-20k,1.0,3.0,本科,2,广州,黄埔,联和,文远知行,399.5
python开发,其他,16000.0,19000.0,17500.0,10k-20k,5.0,10.0,本科,2,北京,通州,台湖,上海微创软件股份有限公司,15000.0
AI 工具链工程师（医疗方向）,AI/智能体,15750.0,18750.0,17250.0,10k-20k,1.0,3.0,本科,2,北京,海淀,,北大医疗管理有限责任公司北京分公司,15000.0
高级爬虫工程师,爬虫/采集,15000.0,30000.0,22500.0,20k-30k,5.0,10.0,本科,2,北京,丰台,看丹,协合运维,5499.5
基础中心-工程技术岗-科学数据工程师(J10541),数据开发,15000.0,30000.0,22500.0,20k-30k,0.0,,硕士,3,北京,海淀,,启元实验室,5499.5
高级大数据开发工程师,数据开发,15000.0,30000.0,22500.0,20k-30k,5.0,10.0,本科,2,广州,海珠,琶洲,华泰保险集团股份有限公司,5499.5
python(语言不限制无经验可投）,其他,15000.0,30000.0,22500.0,20k-30k,0.0,,本科,2,上海,浦东,金桥,外企德科数字技术有限公司,15000.0
Python研发工程师,其他,15000.0,20000.0,17500.0,10k-20k,1.0,3.0,本科,2,广州,天河,天河南,广州天勤数字科技有限公司,59.5
AI 大模型应用开发工程师,AI/智能体,15000.0,25000.0,20000.0,20k-30k,1.0,3.0,大专,1,上海,徐汇,虹梅路,台州拜亚进出口有限公司,749.5
Python开发工程师,其他,15000.0,30000.0,22500.0,20k-30k,1.0,3.0,本科,2,上海,嘉定,安亭,上海锡威信息科技有限公司,10.0
智能体开发工程师,AI/智能体,15000.0,21000.0,18000.0,10k-20k,3.0,5.0,大专,1,上海,青浦,徐泾,上海均瑶世外教育科技(集团)有限责任公司,5499.5
python（福利好 稳定 14-16薪）,其他,15000.0,30000.0,22500.0,20k-30k,1.0,3.0,本科,2,上海,青浦,金泽,万宝盛华企业管理咨询（上海）有限公司,749.5
python数字化前后端开发,后端/全栈,15000.0,17000.0,16000.0,10k-20k,3.0,5.0,本科,2,上海,黄浦,瑞金二路,鼎欣汇智科技（北京）股份有限公司,5499.5
