job_name,job_news,job_city,job_ex,job_edu,job_company,c_info,c_num,c_tag
python后端开发工程师,1.1-1.6万,上海·青浦·金泽,3-5年,本科,软通动力信息技术(集团)股份有限公司,上市公司,10000人以上,软件/IT服务
数据开发工程师,1.5-1.7万,上海·静安·天目西路,5-10年,本科,深圳市法本信息技术股份有限公司,上市公司,1000-9999人,软件/IT服务
python开发工程师,1-1.6万,上海·静安·石门二路,1-3年,本科,深圳市睿服科技有限公司,股份制企业,1000-9999人,软件/IT服务
数据工程师（外包 外资知名药企）,2-3万,上海·浦东·三林,5-10年,本科,科锐尔人力资源服务(苏州)有限公司,上市公司,1000-9999人,人力资源
智能体开发工程师,1.5-2.1万,上海·青浦·徐泾,3-5年,大专,上海均瑶世外教育科技(集团)有限责任公司,民营,1000-9999人,学校/学历教育
数据与AI工程师,1.2-1.8万·13薪,广州·黄埔·九佛,3-5年,本科,卡尔蔡司光学（中国）有限公司,外商独资,1000-9999人,医疗设备/器械/耗材
Databricks高级数据工程师,1.5-2万,广州·海珠·琶洲,5-10年,本科,深圳市法本信息技术股份有限公司,上市公司,1000-9999人,软件/IT服务
零代码开发工程师,8000-13000元,广州·天河·珠吉,1-3年,大专,科珠(广州)科技有限公司,民营,100-299人,软件/IT服务
大数据开发工程师,1.1-1.5万,广州·天河·冼村,1-3年,本科,徽通科技集团有限公司,民营,1000-9999人,金融科技/数字金融
ai数据开发工程师,1-2万,广州·海珠·昌岗,1-3年,本科,广信通信,国企,1000-9999人,通信工程/技术服务
数据开发工程师,1-1.5万,广州·越秀·华乐,3-5年,本科,广东麦视互联网科技有限公司,国企,100-299人,软件/IT服务
大数据开发工程师（周末双休）,1.2-1.5万,广州·天河·冼村,1-3年,本科,徽通科技集团有限公司,民营,1000-9999人,金融科技/数字金融
数据开发工程师(驻场),8000-16000元,广州·黄埔·联和,5-10年,本科,广州西麦科技股份有限公司,上市公司,100-299人,软件/IT服务
大数据开发工程师,4000-8000元,广州·海珠·江海,1-3年,本科,广州广杰网络科技有限公司,民营,20-99人,通信/网络设备
大数据开发工程师,1.2-1.7万,广州·天河·冼村,经验不限,本科,徽通科技集团有限公司,民营,1000-9999人,金融科技/数字金融
初级数据工程师,8000-12000元·13薪,广州·越秀·黄花岗,1-3年,本科,HKT,外商独资,10000人以上,通信运营商/电信增值服务
数据开发工程师,7000-14000元,广州·黄埔·联和,5-10年,本科,广州西麦科技股份有限公司,上市公司,100-299人,软件/IT服务
spark大数据开发工程师（短期+周末双休）,1.4-1.8万,广州·天河·冼村,3-5年,本科,徽通科技集团有限公司,民营,1000-9999人,金融科技/数字金融
AI数据工程师,8000-11000元,广州·天河·棠下,3-5年,大专,软通动力信息技术(集团)股份有限公司,上市公司,10000人以上,软件/IT服务
大数据工程师,7000-10000元,广州·白云·大源,3-5年,硕士,鼎利元(上海)科技发展有限公司,上市公司,300-499人,学校/学历教育
大数据工程师,1.2-1.6万,广州·花都·新雅,3-5年,本科,中电科普天科技股份有限公司,上市公司,1000-9999人,通信/网络设备
大数据开发工程师（短期+周末双休）,1.5-1.8万,广州·天河·冼村,3-5年,本科,徽通科技集团有限公司,民营,1000-9999人,金融科技/数字金融
大数据开发工程师,1.4-2万,广州·番禺·大石,1-3年,本科,广州时格科技有限公司,,20人以下,家电批发/零售/贸易
数据工程师,8000-13000元,广州·天河·天河南,1年以下,本科,海南钦诚软件技术有限公司,上市公司,1000-9999人,软件/IT服务
数据开发工程师,1-1.8万,广州·黄埔·九佛,3-5年,本科,广州金升阳科技有限公司,民营,1000-9999人,半导体/芯片
python开发工程师,8000-15000元,广州·番禺·大石,1年以下,本科,广州时格科技有限公司,,20人以下,家电批发/零售/贸易
数据开发工程师,1.4-1.6万,广州·天河·车陂,经验不限,本科,广州玲跃电子科技有限公司,,20-99人,电气机械/电力设备
数据开发工程师,1-1.5万,广州·黄埔·联和,5-10年,大专,广州西麦科技股份有限公司,上市公司,100-299人,软件/IT服务
初级大数据开发工程师,8000-11000元·13薪,广州·越秀·北京街道,经验不限,本科,南昌辰睿科技服务有限公司,民营,100-299人,技术服务
数据开发工程师,1.3-1.5万,广州·天河·棠下,5-10年,本科,软通动力信息技术(集团)股份有限公司,上市公司,10000人以上,软件/IT服务
数据实施工程师,1.4-1.8万,广州·黄埔·联和,5-10年,本科,深圳市南电云商有限公司,民营,500-999人,保险
中级数据治理工程师,7000-12000元,广州·天河·五山,3-5年,本科,广东省信息安全测评中心,事业单位,100-299人,产业互联网平台
大数据开发工程师,1.2-1.4万,广州·海珠·琶洲,5-10年,本科,外企德科,合资,300-499人,人力资源
数据治理工程师,7000-12000元,广州·越秀·北京街道,3-5年,本科,广东广安信息发展公司,其它,100-299人,信息安全
大数据开发工程师-周末双休（项目外包）,1.4-2万,广州·天河·猎德,1-3年,本科,徽通科技集团有限公司,民营,1000-9999人,金融科技/数字金融
Python后端开发-工业AI方向-全额五险一金,1-1.1万,广州·海珠·官洲,3-5年,本科,软通动力信息技术(集团)股份有限公司,上市公司,10000人以上,软件/IT服务
大数据开发工程师,7000-14000元,广州·越秀·北京街道,3-5年,本科,广东广安信息发展公司,其它,100-299人,信息安全
大数据开发工程师（外包）,1.3-1.8万,广州·黄埔·联和,3-5年,本科,彩讯科技股份有限公司,上市公司,1000-9999人,软件/IT服务
数据治理工程师（医疗行业）,9000-10000元,广州·天河·棠下,3-5年,大专,软通动力信息技术(集团)股份有限公司,上市公司,10000人以上,软件/IT服务
python开发,1-1.4万,广州·海珠·琶洲,3-5年,本科,江苏秉信科技有限公司,民营,300-499人,软件/IT服务
python后端实习生,160-180元/天,广州·海珠·琶洲,经验不限,本科,广州掌动智能科技有限公司,民营,300-499人,软件/IT服务
数据开发工程师(英文+国际差旅）(J14058),1.5-1.8万,广州·番禺·大石,经验不限,本科,浩鲸云计算科技股份有限公司,合资,1000-9999人,云计算
数据开发工程师,1.2-1.8万·14薪,广州·海珠·江海,3-5年,本科,广州广有通信设备有限公司,国企,100-299人,通信/网络设备
Agent智能体开发工程师,3-4万·13薪,广州·黄埔·萝岗,5-10年,本科,苏州人瑞普惠人力资源服务有限公司,上市公司,20-99人,产业互联网平台
大数据开发工程师（大厂外包）,9000-11000元,广州·海珠·官洲,3-5年,本科,软通动力信息技术(集团)股份有限公司,上市公司,10000人以上,软件/IT服务
数据工程师,6000-8000元,广州·海珠·官洲,1-3年,本科,华信设计,国企,1000-9999人,通信工程/技术服务
大数据开发工程师【27届校招】,1.2-1.8万·14薪,广州·黄埔·萝岗,经验不限,本科,多益网络有限公司,民营,1000-9999人,互联网游戏
Python 后端开发实习生（GIS 数据处理方向）,85-100元/天,广州·越秀·北京街道,经验不限,本科,广州市交通规划研究院有限公司,事业单位,100-299人,学术/科研
初级数据开发工程师(J10949),8000-10000元,广州·天河·新塘,1-3年,本科,丰石科技,民营,100-299人,大数据
rag开发工程师（线上面试＋英文好）,1.6-1.8万,广州·天河·林和,3-5年,本科,深圳市法本信息技术股份有限公司,上市公司,1000-9999人,软件/IT服务
Python工程师,1.2-1.4万,广州·越秀·梅花村,1-3年,本科,信必优(深圳)信息技术有限公司广州分公司,外商独资,1000-9999人,软件/IT服务
数据研发工程师（广州）,1-1.5万,广州·天河·新塘,1-3年,本科,新讯数字科技(杭州)有限公司北京分公司,民营,1000-9999人,通信/网络设备
终端软件开发工程师,9000-10000元,广州·黄埔·联和,3-5年,本科,广州仁合时创信息技术有限公司,民营,500-999人,软件/IT服务
数据开发工程师(J10949),7000-9000元,广州·天河·新塘,经验不限,本科,丰石科技,民营,100-299人,大数据
智能体开发工程师,1.3-1.5万,广州·黄埔·联和,3-5年,本科,广州九路科技有限公司,民营,100-299人,产业互联网平台
智能体应用开发工程师,1-2万,广州·海珠·赤岗,1-3年,本科,广州食惠供应链有限公司,民营,20-99人,互联网电商
Python工程师,1.4-1.6万,广州·天河·冼村,3-5年,本科,徽通科技集团有限公司,民营,1000-9999人,金融科技/数字金融
大数据平台开发工程师,1.2-2.1万·13薪,广州·花都·新雅,3-5年,本科,中电科普天科技股份有限公司,上市公司,1000-9999人,通信/网络设备
大数据开发工程师,1.2-1.6万,广州·番禺·南村,5-10年,大专,亿达信息,民营,1000-9999人,软件/IT服务
智能体开发工程师,8000-15000元,广州·越秀·北京街道,1年以下,本科,广东广安信息发展公司,其它,100-299人,信息安全
Python实习生,150-200元/天,广州·天河·车陂,经验不限,本科,中望软件,上市公司,1000-9999人,软件/IT服务
数据开发工程师（广州）,1.2-1.7万,广州·天河·冼村,3-5年,本科,武汉宝信信息技术有限公司,,100-299人,软件/IT服务
数据工程师(J10199),7000-10000元,广州·海珠·官洲,经验不限,本科,王老吉大健康,国企,10000人以上,食品/饮品/烟酒制造
python开发工程师,1.2-1.8万,广州·番禺·南村,1-3年,本科,左木莲安(广东)数字科技有限公司,股份制企业,20-99人,互联网电商
数据工程师（天津）,1.4-1.5万,广州·越秀·黄花岗,3-5年,本科,广东南油服务有限公司,国企,1000-9999人,咨询服务
大数据开发工程师,1-1.8万,广州·海珠·琶洲,5-10年,本科,中科软科技股份有限公司,股份制企业,1000-9999人,软件/IT服务
智能体开发工程师,1.4-1.6万,广州·黄埔·联和,3-5年,本科,广州仁合时创信息技术有限公司,民营,500-999人,软件/IT服务
python工程师,1.4-1.5万,广州·天河·猎德,1-3年,本科,徽通科技集团有限公司,民营,1000-9999人,金融科技/数字金融
python开发-oddo经验优先,1-1.3万,广州·番禺·化龙,3-5年,大专,上海思芮信息科技有限公司,民营,500-999人,软件/IT服务
智能体开发工程师,1.4-1.6万,广州·黄埔·联和,3-5年,本科,广州仁合时创信息技术有限公司,民营,500-999人,软件/IT服务
Python后端,1.4-1.5万,广州·天河·冼村,3-5年,本科,徽通科技集团有限公司,民营,1000-9999人,金融科技/数字金融
python数据开发工程师,1.3-1.6万,广州·海珠·琶洲,3-5年,本科,深圳市法本信息技术股份有限公司,上市公司,1000-9999人,软件/IT服务
AI智能体开发工程师,1-1.8万,广州·黄埔·联和,3-5年,本科,广州西麦科技股份有限公司,上市公司,100-299人,软件/IT服务
大模型应用开发工程师,1.4-1.5万,广州·天河·冼村,3-5年,本科,徽通科技集团有限公司,民营,1000-9999人,金融科技/数字金融
Python开发工程师,6000-10000元,广州·白云·京溪,3-5年,本科,广州利洋水产科技股份有限公司,上市公司,1000-9999人,渔业
Python开发工程师（量化交易系统）,1.5-2.5万,广州·天河·冼村,3-5年,本科,讯汇科技,外商独资,100-299人,产业互联网平台
AI开发工程师,1-1.5万,广州·黄埔·联和,1-3年,本科,广州西麦科技股份有限公司,上市公司,100-299人,软件/IT服务
开发工程师,6000-10000元,广州·番禺·大龙,1-3年,本科,广州软航信息科技有限公司,民营,20-99人,软件/IT服务
python开发工程师,1.2-1.6万,广州·天河·新塘,1-3年,本科,广州图灵科技有限公司,股份制企业,20-99人,信息安全
初级Python开发工程师,6000-10000元·13薪,广州·天河·五山,1-3年,本科,有新智能科技(广州)有限公司,民营,20-99人,人工智能
软件开发工程师（Java与Python）,7000-10000元,广州·天河·珠吉,3-5年,大专,广州恒晓信息科技有限公司,民营,20人以下,软件/IT服务
AI AGENT工程师 (Infra方向),2-3万,广州·黄埔·萝岗,3-5年,本科,广东芯培森技术有限公司,民营,20人以下,半导体/芯片
Python开发工程师,8000-12000元·13薪,广州·天河·五山,3-5年,本科,有新智能科技(广州)有限公司,民营,20-99人,人工智能
python开发,1-1.2万,广州·天河·冼村,1-3年,本科,浪潮集团,国企,10000人以上,软件/IT服务
python开发工程师,1-1.5万,广州·黄埔·联和,3-5年,大专,广州西麦科技股份有限公司,上市公司,100-299人,软件/IT服务
Python开发/双休,1.5-1.8万,广州·海珠·琶洲,3-5年,本科,深圳市睿服科技有限公司,股份制企业,1000-9999人,软件/IT服务
python开发,1.3-1.8万,广州·天河·天河南,5-10年,大专,海南钦诚软件技术有限公司,上市公司,1000-9999人,软件/IT服务
Python工程师(线上兼职),2000-4000元,广州·海珠·赤岗,经验不限,本科,河南九页科技有限公司,民营,20-99人,软件/IT服务
Python后端开发工程师（初/中级）,1-1.5万,广州·黄埔·联和,经验不限,本科,广东杰纳医药科技有限公司,民营,100-299人,技术服务
python开发工程师,1.4-1.8万,广州·天河·天河南,3-5年,本科,海南钦诚软件技术有限公司,上市公司,1000-9999人,软件/IT服务
资深后端工程师,1-1.8万·13薪,广州·番禺·新造,3-5年,本科,石家庄博瑞迪生物技术有限公司,民营,100-299人,生物/制药
python后端开发工程师,1.3-2.2万,广州·黄埔·联和,1-3年,本科,广东杰纳医药科技有限公司,民营,100-299人,技术服务
资深服务工程师（驻场）,7000-12000元,广州·越秀·北京街道,3-5年,本科,广州向中科技有限公司,民营,20-99人,软件/IT服务
后处理与图形绘制工程师,1.8-2.3万,广州·南沙·南沙,3-5年,硕士,广东云湃科技有限责任公司,民营,20-99人,软件/IT服务
Python开发工程师,8000-14000元,广州·番禺·小谷围,经验不限,本科,广州市点易资讯科技有限公司,民营,100-299人,人工智能
Pyhon开发工程师,1-1.2万,广州·海珠·官洲,3-5年,本科,广州嘉检医学检测有限公司,民营,100-299人,检测/认证/计量
高级大数据开发工程师,1.5-3万,广州·海珠·琶洲,5-10年,本科,华泰保险集团股份有限公司,合资,1000-9999人,保险
广州-数据工程师（偏Azure Databricks）,9000-17000元·13薪,广州·海珠·江海,3-5年,本科,敏捷艾科,民营,100-299人,产业互联网平台
软件开发工程师,1.6-2.5万·15薪,广州·海珠·官洲,1-3年,本科,文远知行,合资,300-499人,人工智能
高级数据开发工程师,1.2-2万,广州·海珠·琶洲,3-5年,本科,广州海晟科技有限公司,民营,100-299人,软件/IT服务
数据工程师（偏Azure Databricks）,1-1.5万·13薪,广州·海珠·江海,1-3年,本科,敏捷艾科,民营,100-299人,产业互联网平台
软件开发工程师,2-2.5万·15薪,广州·黄埔·联和,1-3年,本科,文远知行,合资,300-499人,人工智能
Python研发工程师,1.5-2万,广州·天河·天河南,1-3年,本科,广州天勤数字科技有限公司,民营,20-99人,软件/IT服务
后端开发工程师,1.1-1.8万,广州·番禺·化龙,3-5年,本科,软通动力信息技术(集团)股份有限公司,上市公司,10000人以上,软件/IT服务
工业大数据工程师,1.5-3万,广州·黄埔·联和,3-5年,本科,开波特(武汉)人工智能有限公司,民营,20-99人,人工智能
