job_name,job_news,job_city,job_ex,job_edu,job_company,c_info,c_num,c_tag
爬虫副主任,1.2-1.7万,北京·海淀·北下关,1-3年,本科,北京盈科千信科技有限公司,民营,100-299人,软件/IT服务
Agent开发工程师(智能零售),2-3.5万,北京·丰台·马家堡,3-5年,本科,融讯科技,民营,20-99人,人工智能
金融数据开发工程师（北京）,2-3万,北京·海淀·羊坊店,3-5年,本科,青岛光谷联合发展有限公司,股份制企业,100-299人,房地产开发经营
python开发工程师,1.2-1.5万,北京·海淀·北下关,3-5年,本科,北京颢辰科创科技有限公司,民营,20人以下,人力资源
python高级工程师,1-1.5万·13薪,北京·大兴,5-10年,本科,紫航雾(北京)信息技术有限公司,民营,20-99人,软件/IT服务
数据agent研发工程师,2-4万·14薪,北京·海淀·花园路,3-5年,本科,沈阳阅准科技有限公司,民营,500-999人,软件/IT服务
00154760——数据开发工程师,1.5-2万·13薪,北京·海淀,1-3年,本科,思特奇,上市公司,1000-9999人,通信运营商/电信增值服务
大数据开发工程师,1.1-1.8万,北京·丰台·看丹,3-5年,本科,北京捷科智诚科技有限公司上海分公司,民营,1000-9999人,软件/IT服务
爬虫工程师,1.1-1.5万,北京·海淀·北下关,3-5年,本科,北京盈科千信科技有限公司,民营,100-299人,软件/IT服务
后端工程师,1.6-2.2万,北京·海淀·西三旗,3-5年,本科,北京通合智能科技有限公司,民营,20人以下,计算机硬件
爬虫工程师,6000-12000元,北京·门头沟·永定,经验不限,本科,北京迈迪培尔信息技术有限公司,民营,20-99人,产业互联网平台
数据采集工程师（爬虫方向）,1.3-1.8万,北京·丰台·看丹,1-3年,本科,中资检验认证有限公司,其它,100-299人,云计算
Python应用开发工程师（流媒体/视频平台方向）,1-1.2万,北京·丰台·看丹,1-3年,本科,路安通智科技集团有限公司,其它,100-299人,工程施工
高级开发工程师（wai派）,1.1-1.5万,北京·丰台·看丹,5-10年,本科,郑州海奥软件科技有限公司,民营,100-299人,软件/IT服务
Python开发工程师,1-1.5万·13薪,北京·通州·新华,1-3年,本科,北京蓝鲸与海科技有限公司,股份制企业,20-99人,产业互联网平台
Python开发工程师,1-1.2万,北京·丰台·看丹,1-3年,本科,路安通智科技集团有限公司,其它,100-299人,工程施工
大模型应用开发工程师,1-2万,北京·海淀·中关村,1-3年,本科,苏州人瑞普惠人力资源服务有限公司,上市公司,20-99人,产业互联网平台
高级Python开发,1.1-1.2万,北京·昌平,5-10年,大专,软通动力信息技术(集团)股份有限公司,上市公司,10000人以上,软件/IT服务
python工程师,1-2万,北京·海淀·中关村,3-5年,本科,科锐尔人力资源服务(苏州)有限公司,上市公司,300-499人,人力资源
数据开发工程师,2.5-3.5万,北京·海淀·上地,经验不限,本科,苏州人瑞普惠人力资源服务有限公司,上市公司,20-99人,产业互联网平台
Python开发工程师（北京外包驻场）,1.2-2万,北京·石景山·苹果园,3-5年,本科,沈阳东软系统集成工程有限公司,国企,20-99人,软件/IT服务
高级数据工程师,2-2.5万,北京·丰台·太平桥,5-10年,本科,北京远盟普惠健康科技有限公司,外商独资,500-999人,互联网医疗
后端开发工程师,6000-8000元,北京·西城·展览路,1-3年,本科,北京国网互联电气技术有限公司,民营,20-99人,电气机械/电力设备
